gId,filename,catalog_timestamp_utc,station,event_id,case_type,status,on_disk,size_bytes,opens,has_CMK,has_Latitude,has_Longitude,has_time,time_utc_decoded,time_vs_catalog_minutes,satellite_name,sensor_name,manifest_match,error
12472515,3RIMG_20OCT2023_0615_L2B_CMK_V01R00.h5,2023-10-20T06:15:00Z,VOCI,VOCI_CTL_02_20231103T08,control,OK,True,9590944,True,True,True,True,True,2023-10-20T06:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12473275,3RIMG_20OCT2023_0915_L2B_CMK_V01R00.h5,2023-10-20T09:15:00Z,VOCI,VOCI_CTL_02_20231103T08,control,OK,True,9566985,True,True,True,True,True,2023-10-20T09:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12473603,3RIMG_20OCT2023_1115_L2B_CMK_V01R00.h5,2023-10-20T11:15:00Z,VOCI,VOCI_CTL_02_20231103T08,control,OK,True,9561136,True,True,True,True,True,2023-10-20T11:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12474125,3RIMG_20OCT2023_1415_L2B_CMK_V01R00.h5,2023-10-20T14:15:00Z,VOCI,VOCI_CTL_02_20231103T08,control,OK,True,9578883,True,True,True,True,True,2023-10-20T14:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12474561,3RIMG_20OCT2023_1615_L2B_CMK_V01R00.h5,2023-10-20T16:15:00Z,VOCI,VOCI_CTL_02_20231103T08,control,OK,True,9576695,True,True,True,True,True,2023-10-20T16:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12475661,3RIMG_20OCT2023_2245_L2B_CMK_V01R00.h5,2023-10-20T22:45:00Z,VOCI,VOCI_CTL_02_20231103T08,control,OK,True,9614455,True,True,True,True,True,2023-10-20T22:45:00Z,0.0,INSAT-3DR,IMAGER,True,
12551955,3RIMG_03NOV2023_0615_L2B_CMK_V01R00.h5,2023-11-03T06:15:00Z,VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,OK,True,9633741,True,True,True,True,True,2023-11-03T06:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12552771,3RIMG_03NOV2023_0915_L2B_CMK_V01R00.h5,2023-11-03T09:15:00Z,VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,OK,True,9611979,True,True,True,True,True,2023-11-03T09:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12553225,3RIMG_03NOV2023_1115_L2B_CMK_V01R00.h5,2023-11-03T11:15:00Z,VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,OK,True,9591824,True,True,True,True,True,2023-11-03T11:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12553871,3RIMG_03NOV2023_1415_L2B_CMK_V01R00.h5,2023-11-03T14:15:00Z,VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,OK,True,9597873,True,True,True,True,True,2023-11-03T14:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12554279,3RIMG_03NOV2023_1615_L2B_CMK_V01R00.h5,2023-11-03T16:15:00Z,VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,OK,True,9619979,True,True,True,True,True,2023-11-03T16:15:00Z,0.0,INSAT-3DR,IMAGER,True,
12555403,3RIMG_03NOV2023_2245_L2B_CMK_V01R00.h5,2023-11-03T22:45:00Z,VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,OK,True,9673875,True,True,True,True,True,2023-11-03T22:45:00Z,0.0,INSAT-3DR,IMAGER,True,
13452103,3RIMG_22APR2024_1115_L2B_CMK_V01R00.h5,2024-04-22T11:15:00Z,VECC,VECC_CTL_04_20240506T13,control,OK,True,9589467,True,True,True,True,True,2024-04-22T11:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13452631,3RIMG_22APR2024_1445_L2B_CMK_V01R00.h5,2024-04-22T14:45:00Z,VECC,VECC_CTL_04_20240506T13,control,OK,True,9549432,True,True,True,True,True,2024-04-22T14:45:00Z,0.0,INSAT-3DR,IMAGER,True,
13453089,3RIMG_22APR2024_1645_L2B_CMK_V01R00.h5,2024-04-22T16:45:00Z,VECC,VECC_CTL_04_20240506T13,control,OK,True,9549916,True,True,True,True,True,2024-04-22T16:45:00Z,0.0,INSAT-3DR,IMAGER,True,
13454345,3RIMG_22APR2024_2315_L2B_CMK_V01R00.h5,2024-04-22T23:15:00Z,VECC,VECC_CTL_04_20240506T13,control,OK,True,9592561,True,True,True,True,True,2024-04-22T23:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13454773,3RIMG_23APR2024_0115_L2B_CMK_V01R00.h5,2024-04-23T01:15:00Z,VECC,VECC_CTL_04_20240506T13,control,OK,True,9587709,True,True,True,True,True,2024-04-23T01:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13455117,3RIMG_23APR2024_0245_L2B_CMK_V01R00.h5,2024-04-23T02:45:00Z,VECC,VECC_CTL_04_20240506T13,control,OK,True,9586792,True,True,True,True,True,2024-04-23T02:45:00Z,0.0,INSAT-3DR,IMAGER,True,
13522375,3RIMG_06MAY2024_1115_L2B_CMK_V01R00.h5,2024-05-06T11:15:00Z,VECC,VECC_TS_04_20240506T13,thunderstorm_episode,OK,True,9624450,True,True,True,True,True,2024-05-06T11:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13522685,3RIMG_06MAY2024_1315_L2B_CMK_V01R00.h5,2024-05-06T13:15:00Z,VECC,VECC_TS_04_20240506T13,thunderstorm_episode,OK,True,9601362,True,True,True,True,True,2024-05-06T13:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13522893,3RIMG_06MAY2024_1615_L2B_CMK_V01R00.h5,2024-05-06T16:15:00Z,VECC,VECC_TS_04_20240506T13,thunderstorm_episode,OK,True,9580629,True,True,True,True,True,2024-05-06T16:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13523613,3RIMG_06MAY2024_2315_L2B_CMK_V01R00.h5,2024-05-06T23:15:00Z,VECC,VECC_TS_04_20240506T13,thunderstorm_episode,OK,True,9583955,True,True,True,True,True,2024-05-06T23:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13523803,3RIMG_07MAY2024_0115_L2B_CMK_V01R00.h5,2024-05-07T01:15:00Z,VECC,VECC_TS_04_20240506T13,thunderstorm_episode,OK,True,9585491,True,True,True,True,True,2024-05-07T01:15:00Z,0.0,INSAT-3DR,IMAGER,True,
13524145,3RIMG_07MAY2024_0245_L2B_CMK_V01R00.h5,2024-05-07T02:45:00Z,VECC,VECC_TS_04_20240506T13,thunderstorm_episode,OK,True,9593093,True,True,True,True,True,2024-05-07T02:45:00Z,0.0,INSAT-3DR,IMAGER,True,
